"","H_num","POP_ID","Above_weight_avg","Tot_weight_avg","Below_weight_avg","RE_avg","RGR_Above_ln","RGR_Below_ln","RGR_Tot_ln","RER_ln","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm","Days"
"MACA_UTC_MK.113","H2","MACA_UTC_MK",0.0016,0.00245225,0.00085225,22.840075,0.0749554139676311,0.0600486082308311,0.0694150242064121,0.0955228469664017,"MACA","UTC","MK","FORB","24"
"MACA_UTC_MK.114","H3","MACA_UTC_MK",0.0126666666666667,0.0147333333333333,0.00206666666666667,35.7409,0.114942791211808,0.04921179840817,0.0996170294418475,0.0248766123771153,"MACA","UTC","MK","FORB","42"
"MACA_UTC_MK.115","H4","MACA_UTC_MK",0.0366433333333333,0.0921766666666667,0.0555333333333333,642.2569,0.0252918485681997,0.0783582485162309,0.0436570125021185,0.0687783973364037,"MACA","UTC","MK","FORB","84"
"MACA_UTNE_BON.116","H1","MACA_UTNE_BON",0.00900565,0.00921045,0.0002048,2.62225,NA,NA,NA,NA,"MACA","UTNE","BON","FORB","10"
"MACA_UTNE_BON.117","H2","MACA_UTNE_BON",0.0009375,0.0012399,0.0003024,7.78015,-0.161599334234395,0.0278369107957161,-0.143236284128914,0.077681635025037,"MACA","UTNE","BON","FORB","24"
"MACA_UTNE_BON.118","H3","MACA_UTNE_BON",0.00606666666666667,0.00746666666666667,0.0014,22.6401,0.103741545919567,0.0851376039609985,0.099745441054957,0.0593415028931258,"MACA","UTNE","BON","FORB","42"
"MACA_UTNE_BON.119","H4","MACA_UTNE_BON",0.409066666666667,0.5614,0.152333333333333,1639.88466666667,0.100263543726911,0.111657115847735,0.102856785565117,0.101968060067993,"MACA","UTNE","BON","FORB","84"
"MACA_UTSE_CSR.120","H1","MACA_UTSE_CSR",0.00051405,0.00059455,8.05e-05,2.216475,NA,NA,NA,NA,"MACA","UTSE","CSR","FORB","10"
"MACA_UTSE_CSR.121","H2","MACA_UTSE_CSR",0.004375,0.006275,0.0019,60.7819,0.152952947271642,0.22581085576643,0.168323139079743,0.236526710799087,"MACA","UTSE","CSR","FORB","24"
"MACA_UTSE_CSR.122","H3","MACA_UTSE_CSR",0.03715,0.048625,0.011475,354.628966666667,0.118836513964122,0.0999064927652341,0.113753573162265,0.0979877795171128,"MACA","UTSE","CSR","FORB","42"
