"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"152","h2","PAMU",NA,NA,NA,NA,NA,"rel_RDMC2"
"153","h2","PLPA",NA,NA,NA,NA,NA,"rel_RDMC2"
"154","h2","VUOC",NA,NA,NA,NA,NA,"rel_RDMC2"
"155","h3","ACMI",-0.395939503800649,-0.270653325658327,-0.0354337619204944,0.202841395691812,0.341608547736901,"rel_RDMC2"
"156","h3","ARTR",-0.611598529726716,-0.445725806758921,-0.120774004685001,0.20007393453014,0.372396744240369,"rel_RDMC2"
"157","h3","ELTR",-0.72129237959843,-0.547758155863865,-0.178708179649387,0.172650930955459,0.361154506149268,"rel_RDMC2"
"158","h3","HEAN",-0.65730699715528,-0.473473687911889,-0.115729515603899,0.241700327246436,0.426717060768509,"rel_RDMC2"
"159","h3","HECO",-0.593380380329922,-0.415698924299009,-0.0778215998462207,0.253683033761604,0.432730547454757,"rel_RDMC2"
"160","h3","HEVI",-0.862646042324821,-0.670935698558511,-0.296093415909956,0.0678918167420171,0.236568383971571,"rel_RDMC2"
"161","h3","MACA",-0.205962120916671,-0.0185357646964884,0.299832804457077,0.618392244802668,0.797197771286686,"rel_RDMC2"
"162","h3","MUPO",-0.487784521622834,-0.291979321633974,0.106616597268346,0.491734892883588,0.696849570103758,"rel_RDMC2"
"163","h3","PAMU",-0.653554010065355,-0.473776453103383,-0.129032507718947,0.215621537741364,0.390119554984007,"rel_RDMC2"
"164","h3","PLPA",-0.540021782111015,-0.380336353123155,-0.0520415842110441,0.281249718380038,0.445908002404415,"rel_RDMC2"
"165","h3","VUOC",-0.450846335782138,-0.266445336442469,0.0794081150166876,0.419715106623625,0.600297427239518,"rel_RDMC2"
"166","h4","ACMI",NA,NA,NA,NA,NA,"rel_RDMC2"
"167","h4","ARTR",-0.222715666660901,-0.0553404367391682,0.262240296209005,0.607442483164217,0.790957195083369,"rel_RDMC2"
